ID,Gonad_Sample,Monitoring_Location,L,Species,mDate,Month,FL,histology Sex,Gonad_State,Stage,Field sex,Fish_Weight,GW,rGSI,mature,PHASE-old,PHASE,Monitoring_Time,Monitoring_Metadata.Comments
860,PU06,West Hawaii,West Hawaii,Roi,6/29/13,6,41,M,SC,Mature,,963.88,0.8,0.083066827,1,M,M,12:00 PM,ROI ROUND UP
861,PU07,West Hawaii,West Hawaii,Roi,6/29/13,6,40.5,F,S,Atresia,,1048.9,5.2,0.49822746,1,RG,I,12:00 PM,ROI ROUND UP
862,PU08,West Hawaii,West Hawaii,Roi,6/29/13,6,34,F,RE,PN,,680.39,3.2,0.472540941,1,D,D,12:00 PM,ROI ROUND UP
863,PU09,West Hawaii,West Hawaii,Roi,6/29/13,6,34.5,F,RE,PN,,595.34,2.1,0.353988268,1,D,D,12:00 PM,ROI ROUND UP
864,PU10,West Hawaii,West Hawaii,Roi,6/29/13,6,26,F,S,Atresia,,255.15,0.9,0.353982301,1,RG,I,12:00 PM,ROI ROUND UP
865,"PU11
PU11",West Hawaii,West Hawaii,Roi,6/29/13,6,33,F,RE,ON,,623.69,2.1,0.337843273,1,D,D,12:00 PM,ROI ROUND UP
866,PU12,West Hawaii,West Hawaii,Roi,6/29/13,6,26.5,F,S,Atresia,,283.5,1.4,0.496277916,1,RG,I,12:00 PM,ROI ROUND UP
867,PU13,West Hawaii,West Hawaii,Roi,6/29/13,6,24.5,F,RE,PN,,,3.6,,1,RG,I,12:00 PM,ROI ROUND UP
868,PU14,West Hawaii,West Hawaii,Roi,6/29/13,6,34.5,F,RE,atresia,,652.04,2.7,0.415806819,1,RG,I,12:00 PM,ROI ROUND UP
869,PU15,West Hawaii,West Hawaii,Roi,6/29/13,6,27,F,RE,VT,,,1.3,,1,RG,I,12:00 PM,ROI ROUND UP
870,PU16,West Hawaii,West Hawaii,Roi,6/29/13,6,34,F,,PN,,481.94,2.1,0.437645882,1,RG,I,12:00 PM,ROI ROUND UP
870,PU16,West Hawaii,West Hawaii,Roi,6/29/13,6,34,F,SC,VT,,481.94,2.1,0.437645882,1,RG,I,12:00 PM,ROI ROUND UP
871,PU17,West Hawaii,West Hawaii,Roi,6/29/13,6,32,F,S,Atresia,,510.29,2.8,0.55173501,1,RG,I,12:00 PM,ROI ROUND UP
872,PU18,West Hawaii,West Hawaii,Roi,6/29/13,6,33.5,F,S,Atresia,,566.99,2.7,0.478477379,1,RG,I,12:00 PM,ROI ROUND UP
873,PU19,West Hawaii,West Hawaii,Roi,6/29/13,6,32,F,RE,VT,,,4.4,,1,SC,SC,12:00 PM,ROI ROUND UP
874,PU20,West Hawaii,West Hawaii,Roi,6/29/13,6,47.5,M,SC,Mature,,1615.9,4.9,0.304158908,1,M,M,12:00 PM,ROI ROUND UP
875,PU21,West Hawaii,West Hawaii,Roi,6/29/13,6,38,F,RE,PN,,970,2.6,0.268761629,1,RG,I,12:00 PM,ROI ROUND UP
876,PU22,West Hawaii,West Hawaii,Roi,6/29/13,6,36.5,F,S,Atresia,,737.09,4,0.545635597,1,RG,I,12:00 PM,ROI ROUND UP
877,PU23,West Hawaii,West Hawaii,Roi,6/29/13,6,44,TL,,MATURE,,1145.8,5.9,0.517589262,1,TL,TL,12:00 PM,ROI ROUND UP
878,PU24,West Hawaii,West Hawaii,Roi,6/29/13,6,48.5,M,SC,Mature,,1842.7,6.1,0.332135468,1,M,M,12:00 PM,ROI ROUND UP
879,PU25,West Hawaii,West Hawaii,Roi,6/29/13,6,41.5,F,,RE,,1105.6,3.9,0.353998366,1,RG,I,12:00 PM,ROI ROUND UP
880,PU26,West Hawaii,West Hawaii,Roi,6/29/13,6,33,M,,,,453.59,2.7,0.598815676,1,M,M,12:00 PM,ROI ROUND UP
881,PU27,West Hawaii,West Hawaii,Roi,6/29/13,6,36,F,S,Atresia,,680.39,3.6,0.531922753,1,RG,I,12:00 PM,ROI ROUND UP
882,PU28,West Hawaii,West Hawaii,Roi,6/29/13,6,43,M,SC,Mature,,1162.3,1.8,0.155105558,1,M,M,12:00 PM,ROI ROUND UP
884,PU30,West Hawaii,West Hawaii,Roi,6/29/13,6,29.5,F,S,Atresia,,425.24,3.1,0.734353532,1,RG,I,12:00 PM,ROI ROUND UP
885,PU31,West Hawaii,West Hawaii,Roi,6/29/13,6,26,F,SC,VT,,255.15,1.8,0.710479574,1,SC,SC,12:00 PM,ROI ROUND UP
886,PU32,West Hawaii,West Hawaii,Roi,6/29/13,6,25.5,F,S,Atresia,,,2.4,,1,RG,I,12:00 PM,ROI ROUND UP
887,PU33,West Hawaii,West Hawaii,Roi,6/29/13,6,33.5,F,RE,VT,,566.99,3,0.531924325,1,RG,I,12:00 PM,ROI ROUND UP
888,PU34,West Hawaii,West Hawaii,Roi,6/29/13,6,36,F,S,Atresia,,907.18,7.6,0.844838703,1,RG,I,12:00 PM,ROI ROUND UP
889,PU35,West Hawaii,West Hawaii,Roi,6/29/13,6,42,M,,,,1304,2.9,0.222888325,1,M,M,12:00 PM,ROI ROUND UP
890,PU36,West Hawaii,West Hawaii,Roi,6/29/13,6,41,F,RE,PN,,1134,5,0.442869796,1,RG,I,12:00 PM,ROI ROUND UP
891,PU37,West Hawaii,West Hawaii,Roi,6/29/13,6,37,F,RE,Atresia,,878.84,7.2,0.826029095,1,RG,I,12:00 PM,ROI ROUND UP
892,PU38,West Hawaii,West Hawaii,Roi,6/29/13,6,31,F,S,Atresia,,453.59,2.8,0.621131791,1,RG,I,12:00 PM,ROI ROUND UP
893,PU39,West Hawaii,West Hawaii,Roi,6/29/13,6,28.5,F,RE,VT,,481.94,2.1,0.437645882,1,RG,I,12:00 PM,ROI ROUND UP
894,PU40,West Hawaii,West Hawaii,Roi,6/29/13,6,28.5,F,RE,atresia,,340.19,2.5,0.740323966,1,RG,I,12:00 PM,ROI ROUND UP
895,PU41,West Hawaii,West Hawaii,Roi,6/29/13,6,30,F,RE,CA,,396.89,1.9,0.481024836,1,RG,I,12:00 PM,ROI ROUND UP
895,PU41,West Hawaii,West Hawaii,Roi,6/29/13,6,30,F,RE,Atresia,,396.89,1.9,0.481024836,1,RG,I,12:00 PM,ROI ROUND UP
896,PU42,West Hawaii,West Hawaii,Roi,6/29/13,6,31.5,F,S,Atresia,,595.34,3.8,0.642391047,1,RG,I,12:00 PM,ROI ROUND UP
897,PU43,West Hawaii,West Hawaii,Roi,6/29/13,6,42.5,F,S,Atresia,,1247.4,2.5,0.200819343,1,RG,I,12:00 PM,ROI ROUND UP
898,PU44,West Hawaii,West Hawaii,Roi,6/29/13,6,36,F,R,PN,,,2.3,,1,D,D,12:00 PM,ROI ROUND UP
899,PU45,West Hawaii,West Hawaii,Roi,6/29/13,6,43,M,SC,Mature,,1445.8,4.6,0.319178462,1,M,M,12:00 PM,ROI ROUND UP
902,PU46,West Hawaii,West Hawaii,Roi,6/29/13,6,27,F,RE,Atresia,,,,,1,RG,I,12:00 PM,ROI ROUND UP
901,PU47,West Hawaii,West Hawaii,Roi,6/29/13,6,38,F,SC,Atresia,,1048.9,7.1,0.681512766,1,SC,SC,12:00 PM,ROI ROUND UP
900,PU48,West Hawaii,West Hawaii,Roi,6/29/13,6,28.5,F,SC,VT,,368.54,3.1,0.848292469,1,SC,SC,12:00 PM,ROI ROUND UP
903,PU49,West Hawaii,West Hawaii,Roi,6/29/13,6,45.4,M,,,,1502.5,2.6,0.17334489,1,M,M,12:00 PM,ROI ROUND UP
904,PU50,West Hawaii,West Hawaii,Roi,6/29/13,6,39.4,F,RE,VT,,935.53,3.7,0.397068135,1,SC,SC,12:00 PM,ROI ROUND UP
906,PU52,West Hawaii,West Hawaii,Roi,6/29/13,6,24.9,F,RE,Atresia,,170.1,0.8,0.472533963,1,RG,I,12:00 PM,ROI ROUND UP
907,PU53,West Hawaii,West Hawaii,Roi,6/29/13,6,21,F,U,PN,,113.4,0.1,0.088261253,0,U,U,12:00 PM,ROI ROUND UP
908,PU54,West Hawaii,West Hawaii,Roi,6/29/13,6,45.1,M,SC,,,1445.8,3.5,0.242667961,1,M,M,12:00 PM,ROI ROUND UP
909,PU55,West Hawaii,West Hawaii,Roi,6/29/13,6,48.4,M,SC,Mature,,1899.4,5.8,0.306294888,1,M,M,12:00 PM,ROI ROUND UP
910,PU56,West Hawaii,West Hawaii,Roi,6/29/13,6,24.2,F,RE,PN,,226.8,1.3,0.576496674,1,RG,I,12:00 PM,ROI ROUND UP
911,PU57,West Hawaii,West Hawaii,Roi,6/29/13,6,45.7,M,SC,Mature,,1701,5.5,0.324388086,1,M,M,12:00 PM,ROI ROUND UP
912,PU58,West Hawaii,West Hawaii,Roi,6/29/13,6,48.5,M,,,,2268,6.6,0.291854603,1,M,M,12:00 PM,ROI ROUND UP
913,PU59,West Hawaii,West Hawaii,Roi,6/29/13,6,23.4,F,SC,VT,,198.45,0.6,0.303260045,1,D,D,12:00 PM,ROI ROUND UP
914,PU60,West Hawaii,West Hawaii,Roi,6/29/13,6,22.2,F,S,Atresia,,170.1,0.8,0.472533963,1,RG,I,12:00 PM,ROI ROUND UP
915,PU61,West Hawaii,West Hawaii,Roi,6/29/13,6,22.4,F,U,PN,,170.1,0.01,0.00587924,0,U,U,12:00 PM,ROI ROUND UP
2646,roi300,West Hawaii,West Hawaii,Roi,8/8/15,8,31.4,F,RG,ATRESIA,F,,2.04,,1,RG,I,,with JG and MR
2647,roi301,West Hawaii,West Hawaii,Roi,8/8/15,8,34.4,F,RG,ATRESIA,F,,2.65,,1,RG,I,,with JG and MR
2648,roi302,West Hawaii,West Hawaii,Roi,8/8/15,8,23.6,F,RG,ATRESIA,F,,0.78,,1,RG,I,,with JG and MR
2649,roi303,West Hawaii,West Hawaii,Roi,8/8/15,8,20.1,F,RG,ATRESIA,F,,0.48,,1,RG,I,,with JG and MR
2650,roi304,West Hawaii,West Hawaii,Roi,8/8/15,8,34.8,F,RG,ATRESIA,F,,4.06,,1,SC,SC,,with JG and MR
2651,roi305,West Hawaii,West Hawaii,Roi,8/8/15,8,18.2,F,D,VT,F,,0.38,,1,D,D,,with JG and MR
2652,roi306,West Hawaii,West Hawaii,Roi,8/8/15,8,38.5,M,,,M,,2.5,,1,M,M,,with JG and MR
2653,roi307,West Hawaii,West Hawaii,Roi,8/8/15,8,22,F,RG,ATRESIA,F,,0.58,,1,RG,I,,with JG and MR
2654,roi308,West Hawaii,West Hawaii,Roi,8/8/15,8,35.2,F,RG,ARTESIA,F,,1.6,,1,RG,I,,with JG and MR
2655,roi309,West Hawaii,West Hawaii,Roi,8/8/15,8,32.9,F,SC,VT,F,,4.39,,1,SC,SC,,with JG and MR
2656,roi310,West Hawaii,West Hawaii,Roi,8/8/15,8,39,F,RG,VT,F,,3.86,,1,SC,SC,,with JG and MR
2657,roi311,West Hawaii,West Hawaii,Roi,8/8/15,8,31,F,SC,VT,F,,3.55,,1,SC,SC,,with JG and MR
2658,roi312,West Hawaii,West Hawaii,Roi,8/8/15,8,39,M,MATURE,SPERM,T,,1.86,,1,M,M,,with JG and MR
2660,roi314,West Hawaii,West Hawaii,Roi,8/8/15,8,18.4,F,RG,VT,F,,0.52,,1,RG,I,,with JG and MR
2661,roi315,West Hawaii,West Hawaii,Roi,8/8/15,8,22.6,F,VT,,F,,0.63,,1,SC,SC,,with JG and MR
2662,roi316,West Hawaii,West Hawaii,Roi,8/8/15,8,20.5,F,RG,ATRESIA,F,,0.29,,1,RG,I,,with JG and MR
2663,roi317,West Hawaii,West Hawaii,Roi,8/8/15,8,36.5,M,MATURE,SPERM,,,1.2,,1,M,M,,with JG and MR
2664,roi318,West Hawaii,West Hawaii,Roi,8/8/15,8,32.5,F,RG,VT,F,,3.23,,1,RG,I,,with JG and MR
2665,roi319,West Hawaii,West Hawaii,Roi,8/8/15,8,39.8,TL,,PN,F,,4.1,,1,TL,TL,,with JG and MR
2666,roi320,West Hawaii,West Hawaii,Roi,8/8/15,8,22.2,F,SC,VT,F,,0.77,,1,SC,SC,,with JG and MR
2667,roi321,West Hawaii,West Hawaii,Roi,8/8/15,8,29.6,F,RG,ATRESIA,F,,1.67,,1,RG,I,,with JG and MR
2668,roi322,West Hawaii,West Hawaii,Roi,8/8/15,8,30.8,F,RG,ATRESIA,F,,1.69,,1,RG,I,,with JG and MR
2669,roi323,West Hawaii,West Hawaii,Roi,8/8/15,8,31,F,,ATRESIA,F,,1.52,,1,RG,I,,with JG and MR
2670,roi324,West Hawaii,West Hawaii,Roi,8/8/15,8,26.5,F,RG,VT,F,,1.3,,1,RG,I,,with JG and MR
2671,roi325,West Hawaii,West Hawaii,Roi,8/8/15,8,23,F,RG,ATRESIA,F,,0.78,,1,RG,I,,with JG and MR
2672,roi326,West Hawaii,West Hawaii,Roi,8/8/15,8,21.9,F,SC,VT,F,,1.5,,1,SC,SC,,with JG and MR
2673,roi327,West Hawaii,West Hawaii,Roi,8/8/15,8,44,M,MATURE,SPERM,M,,3.86,,1,M,M,,with JG and MR
2674,roi328,West Hawaii,West Hawaii,Roi,8/8/15,8,35.5,TL,PN,,T,,1.35,,1,TL,TL,,with JG and MR
2675,roi329,West Hawaii,West Hawaii,Roi,8/8/15,8,42.3,M,,,M,,3.98,,1,M,M,,with JG and MR
2676,roi330,West Hawaii,West Hawaii,Roi,8/8/15,8,30,F,SC,VT,F,,3.91,,1,SC,SC,,with JG and MR
2679,roi333,West Hawaii,West Hawaii,Roi,8/8/15,8,39.6,F,RG,VT,F,,7.48,,1,SC,SC,,with JG and MR
2680,roi334,West Hawaii,West Hawaii,Roi,8/8/15,8,26.9,F,RG,ATRESIA,F,,1.34,,1,RG,I,,with JG and MR
2681,roi335,West Hawaii,West Hawaii,Roi,8/8/15,8,20.1,F,RG,ATRESIA,,,0.28,,1,RG,I,,with JG and MR
2682,roi336,West Hawaii,West Hawaii,Roi,8/8/15,8,21.3,F,RG,ATRESIA,,,0.88,,1,RG,I,,with JG and MR
2683,roi337,West Hawaii,West Hawaii,Roi,8/8/15,8,35.5,TL,MATURE,,,,1.63,,1,TL,TL,,with JG and MR
2684,roi338,West Hawaii,West Hawaii,Roi,8/8/15,8,32.2,F,RG,,F,,2.79,,1,RG,I,,with JG and MR
2685,roi339,West Hawaii,West Hawaii,Roi,8/8/15,8,20.9,F,RG,ATRESIA,F,,0.3,,1,RG,I,,with JG and MR
2686,roi340,West Hawaii,West Hawaii,Roi,8/8/15,8,39.2,M,MATURE,SPERM,T,,2.77,,1,M,M,,with JG and MR
2687,roi341,West Hawaii,West Hawaii,Roi,8/8/15,8,33.9,F,RG,VT,F,,3.44,,1,RG,I,,with JG and MR
2689,roi343,West Hawaii,West Hawaii,Roi,8/8/15,8,32,F,SC,VT,F,,4.52,,1,SC,SC,,with JG and MR
2691,roi345,West Hawaii,West Hawaii,Roi,8/8/15,8,19.5,F,RG,ATRESIA,I,,0.36,,1,RG,I,,with JG and MR
2692,roi346,West Hawaii,West Hawaii,Roi,8/8/15,8,34.2,F,RG,ATRESIA,F,,1.62,,1,RG,I,,with JG and MR
2693,roi347,West Hawaii,West Hawaii,Roi,8/8/15,8,30.1,F,RG,ATRESIA,F,,2.03,,1,RG,I,,with JG and MR
2696,roi350,West Hawaii,West Hawaii,Roi,8/8/15,8,34.6,F,,ATRESIA AND EARLY SPERM CELLS?,F,,4.27,,1,RG,I,,with JG and MR
2697,roi351,West Hawaii,West Hawaii,Roi,8/8/15,8,40.8,M,MATURE,SPERM,M,,2.78,,1,M,M,,with JG and MR
2698,roi352,West Hawaii,West Hawaii,Roi,8/8/15,8,22.8,F,U,,F,,0.35,,0,U,U,,with JG and MR
2699,roi353,West Hawaii,West Hawaii,Roi,8/8/15,8,39,F,RG,ATRESIA,F,,2.47,,1,RG,I,,with JG and MR
2700,roi354,West Hawaii,West Hawaii,Roi,8/8/15,8,36.7,F,SC,VT,F,,8.59,,1,SC,SC,,with JG and MR
2702,roi356,West Hawaii,West Hawaii,Roi,8/8/15,8,42.1,M,MATURE,,T,,3.88,,1,M,M,,with JG and MR
2703,roi357,West Hawaii,West Hawaii,Roi,8/8/15,8,40.7,F,RG,ATRESIA,F,,9.33,,1,RG,I,,with JG and MR
2704,roi358,West Hawaii,West Hawaii,Roi,8/8/15,8,21.6,F,,,F,,0.88,,1,RG,I,,with JG and MR
2705,roi359,West Hawaii,West Hawaii,Roi,8/8/15,8,20.1,F,RG,CA,F,,0.25,,1,RG,I,,with JG and MR
2708,roi362,West Hawaii,West Hawaii,Roi,8/8/15,8,34.5,F,RG,VT,F,,1.04,,1,RG,I,,with JG and MR
2708,roi362,West Hawaii,West Hawaii,Roi,8/8/15,8,34.5,F,SC,VT,F,,1.04,,1,SC,SC,,with JG and MR
2710,roi364,West Hawaii,West Hawaii,Roi,8/8/15,8,44.5,F,SC,VT,F,,9.91,,1,SC,SC,,with JG and MR
2711,roi365,West Hawaii,West Hawaii,Roi,8/8/15,8,27.1,F,RG,ATRESIA,F,,1.93,,1,RG,I,,with JG and MR
2712,roi366,West Hawaii,West Hawaii,Roi,8/8/15,8,25,F,RG,ATRESIA,F,,4.33,,1,RG,I,,with JG and MR
2713,roi367,West Hawaii,West Hawaii,Roi,8/8/15,8,48,M,,,M,,7.41,,1,M,M,,with JG and MR
2714,roi368,West Hawaii,West Hawaii,Roi,8/8/15,8,32.2,F,RG,,F,,2.33,,1,RG,I,,with JG and MR
2715,roi369,West Hawaii,West Hawaii,Roi,8/8/15,8,23,F,RG,ATRESIA,F,,0.81,,1,RG,I,,with JG and MR
2716,roi370,West Hawaii,West Hawaii,Roi,8/8/15,8,23.7,F,RE,PN,M,,0.16,,1,RE,I,,with JG and MR
2717,roi371,West Hawaii,West Hawaii,Roi,8/8/15,8,21.5,F,RG,ATRESIA,F,,0.72,,1,RG,I,,with JG and MR
,ROI372,West Hawaii,West Hawaii,,8/8/15,8,35.5,T,,,,,2.9,,1,T,T,,
2719,roi373,West Hawaii,West Hawaii,Roi,8/8/15,8,40.8,M,,,T,,2.54,,1,M,M,,with JG and MR
2720,roi374,West Hawaii,West Hawaii,Roi,8/8/15,8,24,F,RG,,F,,0.81,,1,RG,I,,with JG and MR
2721,roi375,West Hawaii,West Hawaii,Roi,8/8/15,8,41.1,F,RG,CA,F,,3.46,,1,RG,I,,with JG and MR
2722,roi376,West Hawaii,West Hawaii,Roi,8/8/15,8,34.9,M,SPERM,MALE,M,,3.49,,1,M,M,,with JG and MR
2723,roi377,West Hawaii,West Hawaii,Roi,8/8/15,8,40.5,M,MATURE,,T,,2.93,,1,M,M,,with JG and MR
2724,roi378,West Hawaii,West Hawaii,Roi,8/8/15,8,27,F,RG,,F,,1.39,,1,RG,I,,with JG and MR
2725,roi379,West Hawaii,West Hawaii,Roi,8/8/15,8,41.1,M,,,T,,2.05,,1,M,M,,with JG and MR
2726,roi380,West Hawaii,West Hawaii,Roi,8/8/15,8,40.1,M,MATURE,SPERM,T,,2.43,,1,M,M,,with JG and MR
2728,roi382,West Hawaii,West Hawaii,Roi,8/8/15,8,42.3,M,MATURE,,M,,3.2,,1,M,M,,with JG and MR
2729,roi383,West Hawaii,West Hawaii,Roi,8/8/15,8,42.8,M,MATURE,SPERM,M,,3.93,,1,M,M,,with JG and MR
2730,roi384,West Hawaii,West Hawaii,Roi,8/8/15,8,37.2,F,RG,ATRESIA,F,,4.83,,1,RG,I,,with JG and MR
2732,roi385,West Hawaii,West Hawaii,Roi,8/8/15,8,24.7,F,CA,,F,,1.06,,0,D,D,,with JG and MR
2731,roi385-?,West Hawaii,West Hawaii,Roi,8/8/15,8,28.7,F,RG,ATRESIA,F,,1.91,,1,RG,I,,with JG and MR
2733,roi386,West Hawaii,West Hawaii,Roi,8/8/15,8,33,F,RG,ATRESIA,F,,3.54,,1,RG,I,,with JG and MR
2734,roi387,West Hawaii,West Hawaii,Roi,8/8/15,8,30.7,F,VT,,F,,2.92,,1,SC,SC,,with JG and MR
2735,roi388,West Hawaii,West Hawaii,Roi,8/8/15,8,18.5,F,D,CA,F,,0.19,,0,D,D,,with JG and MR
2736,roi389,West Hawaii,West Hawaii,Roi,8/8/15,8,22.7,F,U,PN,F,,0.17,,0,U,U,,with JG and MR
2737,roi390,West Hawaii,West Hawaii,Roi,8/8/15,8,33.4,F,RG,ATRESIA,F,,1.26,,1,RG,I,,with JG and MR
2738,roi391,West Hawaii,West Hawaii,Roi,8/8/15,8,32.6,F,RE,PN,F,,1.36,,1,RE,I,,with JG and MR
