ID,Gonad_ID,Location,L,Species,Date,Year,Month,FL,histology Sex,field Sex,Gonad_State,Stage,FW,GW,PHASE,mature
583,YY007,Hanalei,Hanalei,Manini,4/19/13,2013,4,16,F,F,SC,HY1,95,3,VT,1
391,YY078,Hanalei,Hanalei,Manini,4/29/13,2013,4,16,F,F,SC,HY1,96,2,VT,1
393,YY001,Hanalei,Hanalei,Manini,4/29/13,2013,4,16,M,M,SC,Mature,100,4,,1
392,YY030,Hanalei,Hanalei,Manini,4/29/13,2013,4,16,M,M,SC,Mature,106,4,,1
582,,Hanalei,Hanalei,Manini,4/19/13,2013,4,16,,U,,,99,0,,
386,YY075,Hanalei,Hanalei,Manini,4/9/13,2013,4,16.5,F,F,SC,VT,110,3,VT,1
385,YY017,Hanalei,Hanalei,Manini,4/9/13,2013,4,16.5,,F,,,112,2,,1
395,YY027,Hanalei,Hanalei,Manini,4/29/13,2013,4,17,F,F,SC,HY1,121,2,VT,1
374,YY005,Hanalei,Hanalei,Manini,4/14/13,2013,4,17,F,F,SC,VT,127,5,VT,1
585,YY044,Hanalei,Hanalei,Manini,4/19/13,2013,4,17.5,F,D,S,HY2,134,4,H,1
387,YY063,Hanalei,Hanalei,Manini,4/9/13,2013,4,17.5,,M,,,138,4,,1
293,YY012,Hanalei,Hanalei,Manini,4/19/13,2013,4,17.5,,M,,,136,8,,1
397,YY031,Hanalei,Hanalei,Manini,4/29/13,2013,4,18,F,F,SC,HY1,130,2,VT,1
388,YY055,Hanalei,Hanalei,Manini,4/9/13,2013,4,18,F,F,SC,VT,171,3,VT,1
373,YY043,Hanalei,Hanalei,Manini,4/14/13,2013,4,18,F,F,SC,VT,140,4,VT,1
372,YY049,Hanalei,Hanalei,Manini,4/14/13,2013,4,18.5,F,F,SC,VT,143,5,VT,1
384,YY029,Hanalei,Hanalei,Manini,4/9/13,2013,4,19,F,F,SC,VT,155,5,VT,1
375,YY009,Hanalei,Hanalei,Manini,4/14/13,2013,4,19,F,F,SC,VT,171,6,VT,1
381,YY018,Hanalei,Hanalei,Manini,4/9/13,2013,4,20,F,F,SC,VT,203,5,VT,1
584,YY052,Hanalei,Hanalei,Manini,4/19/13,2013,4,20,,M,,,198,12,,1
383,YY057,Hanalei,Hanalei,Manini,4/9/13,2013,4,20,,M,,,213,8,,1
1663,MO306,Hanalei,Hanalei,Manini,4/14/14,2014,4,13.5,F,F,SC,VT,106,1.84,VT,1
1659,MO313,Hanalei,Hanalei,Manini,4/14/14,2014,4,14,,F,,,83,0.29,,
1662,HK035,Hanalei,Hanalei,Manini,4/14/14,2014,4,14.125,,F,,,81,,,
1683,MO312,Hanalei,Hanalei,Manini,4/8/14,2014,4,14.5,,M,,,73,0.49,,
1831,HK028,Hanalei,Hanalei,Manini,4/20/14,2014,4,14.75,F,F,SC,HY2,85,3.05,H,1
1866,HK045,Hanalei,Hanalei,Manini,4/28/14,2014,4,15,F,F,SC,VT,97,1.72,VT,1
1690,MO358,Hanalei,Hanalei,Manini,4/8/14,2014,4,15,F,F,SC,VT,97,1.154,VT,1
1689,MO353,Hanalei,Hanalei,Manini,4/8/14,2014,4,15,F,F,SC,HY1,87,1.268,VT,1
1685,MO355,Hanalei,Hanalei,Manini,4/8/14,2014,4,15,F,F,SC,VT,87,1.303,VT,1
1661,MO296,Hanalei,Hanalei,Manini,4/14/14,2014,4,15,F,F,SC,VT,89,1.7,VT,1
1829,HK025,Hanalei,Hanalei,Manini,4/20/14,2014,4,15,F,,U,PN,85,1.159,,
1862,HK023,Hanalei,Hanalei,Manini,4/28/14,2014,4,15,,M,,,97,3.45,,1
1679,MO354,Hanalei,Hanalei,Manini,4/8/14,2014,4,15,,M,,,93,3.7,,1
1664,HK001,Hanalei,Hanalei,Manini,4/14/14,2014,4,15,,M,,,87,1.27,,1
1867,HK043,Hanalei,Hanalei,Manini,4/28/14,2014,4,15.25,F,F,SC,VT,96,6.62,VT,1
1864,HK021,Hanalei,Hanalei,Manini,4/28/14,2014,4,15.25,,M,,,102,2.22,,1
1863,HK022,Hanalei,Hanalei,Manini,4/28/14,2014,4,15.25,,M,,,97,3.62,,1
1832,HK042,Hanalei,Hanalei,Manini,4/20/14,2014,4,15.5,F,F,SC,HY2,95,5.062,H,1
1686,MO314,Hanalei,Hanalei,Manini,4/8/14,2014,4,15.5,F,F,S,HY1,98,3.221,VT,1
1682,MO315,Hanalei,Hanalei,Manini,4/8/14,2014,4,15.5,,M,,,100,0.843,,1
1678,YY050,Hanalei,Hanalei,Manini,4/8/14,2014,4,15.5,,M,,,93,2,,1
1677,MO356,Hanalei,Hanalei,Manini,4/8/14,2014,4,15.5,,M,,,97,2.233,,1
1687,MO305,Hanalei,Hanalei,Manini,4/8/14,2014,4,16,F,F,SC,VT,94,1.32,VT,1
1660,MO334,Hanalei,Hanalei,Manini,4/14/14,2014,4,16,F,F,SC,VT,167,4.4,VT,1
1681,MO304,Hanalei,Hanalei,Manini,4/8/14,2014,4,16,M,M,U,IMMATURE,86,0.122,U,0
1828,HK038,Hanalei,Hanalei,Manini,4/20/14,2014,4,16,,M,,,108,5.329,,1
1827,HK012,Hanalei,Hanalei,Manini,4/20/14,2014,4,16.5,,M,,,122,6.9,,1
1865,HK024,Hanalei,Hanalei,Manini,4/28/14,2014,4,17,F,F,SC,VT,130,4.98,VT,1
1691,MO357,Hanalei,Hanalei,Manini,4/8/14,2014,4,17,F,F,SC,HY2,138,4.159,H,1
1688,MO310,Hanalei,Hanalei,Manini,4/8/14,2014,4,17,F,F,SC,VT,113,1.989,VT,1
1684,MO311,Hanalei,Hanalei,Manini,4/8/14,2014,4,17,F,F,SC,VT,120,3.713,VT,1
1680,MO316,Hanalei,Hanalei,Manini,4/8/14,2014,4,17,,M,,,133,7.35,,1
1833,HK032,Hanalei,Hanalei,Manini,4/20/14,2014,4,17.5,F,F,SC,VT,134,2.487,VT,1
1830,HK040,Hanalei,Hanalei,Manini,4/20/14,2014,4,17.75,,M,,,139,8.76,,1
1665,HK046,Hanalei,Hanalei,Manini,4/14/14,2014,4,18,F,F,SC,VT,183,2.9,VT,1
570,MO266,Hanalei,Hanalei,Manini,5/14/13,2013,5,14,F,F,SC,HY1,71,0.93,VT,1
1969,HK408,Hanalei,Hanalei,Manini,5/18/14,2014,5,14,,M,,,74,1.17,,1
516,YY034,Hanalei,Hanalei,Manini,5/9/13,2013,5,14.5,M,M,SC,Mature,87,4,,1
1971,HK403,Hanalei,Hanalei,Manini,5/18/14,2014,5,15,F,F,SC,VT,95,1.12,VT,1
479,YY022,Hanalei,Hanalei,Manini,5/4/13,2013,5,15,F,F,SC,VT,92,2,VT,1
1951,HK030,Hanalei,Hanalei,Manini,5/8/14,2014,5,15,,M,,,83,2.57,,1
639,MO260,Hanalei,Hanalei,Manini,5/19/13,2013,5,15,M,M,SC,Mature,96,0.449,,1
520,YY067,Hanalei,Hanalei,Manini,5/9/13,2013,5,15,M,M,SC,Mature,88,3,,1
518,YY045,Hanalei,Hanalei,Manini,5/9/13,2013,5,15,M,M,SC,Mature,85,4,,1
593,MO288,Hanalei,Hanalei,Manini,5/23/13,2013,5,15.5,F,F,SC,HY1,88,1.828,VT,1
568,MO268,Hanalei,Hanalei,Manini,5/14/13,2013,5,15.5,F,F,SC,HY1,101,4.21,VT,1
519,YY069,Hanalei,Hanalei,Manini,5/9/13,2013,5,15.5,F,F,S,HY1,95,2,VT,1
1968,HK404,Hanalei,Hanalei,Manini,5/18/14,2014,5,15.5,,M,,,93,2.62,,1
517,YY020,Hanalei,Hanalei,Manini,5/9/13,2013,5,15.5,M,M,SC,Mature,105,6,,1
514,YY010,Hanalei,Hanalei,Manini,5/9/13,2013,5,15.5,M,M,SC,Mature,99,6,,1
1967,HK401,Hanalei,Hanalei,Manini,5/18/14,2014,5,15.5,,M,,,101,0.68,,
1950,"HK052
HK052",Hanalei,Hanalei,Manini,5/8/14,2014,5,16,F,F,SC,VT,95,2.12,VT,1
564,MO351,Hanalei,Hanalei,Manini,5/14/13,2013,5,16,F,F,S,HY1,112,2.36,VT,1
480,YY064,Hanalei,Hanalei,Manini,5/4/13,2013,5,16,F,F,SC,HY1,104,2,VT,1
637,MO262,Hanalei,Hanalei,Manini,5/19/13,2013,5,16,,M,,,115,4.63,,1
633,MO265,Hanalei,Hanalei,Manini,5/19/13,2013,5,16,,M,,,105,0.707,,
1970,HK402,Hanalei,Hanalei,Manini,5/18/14,2014,5,16.5,F,F,SC,VT,112,0.84,VT,1
567,MO276a,Hanalei,Hanalei,Manini,5/14/13,2013,5,16.5,F,,SC,HY2,130,6.71,H,1
1953,HK034,Hanalei,Hanalei,Manini,5/8/14,2014,5,16.5,,M,,,116,6.79,,1
1952,HK053,Hanalei,Hanalei,Manini,5/8/14,2014,5,16.5,,M,,,108,5.55,,1
591,MO289,Hanalei,Hanalei,Manini,5/23/13,2013,5,16.5,,M,,,119,8.197,,1
1949,HK051,Hanalei,Hanalei,Manini,5/8/14,2014,5,17,,F,,,119,3.88,,1
590,MO292,Hanalei,Hanalei,Manini,5/23/13,2013,5,17,F,F,SC,HY2,139,4.931,H,1
565,MO271,Hanalei,Hanalei,Manini,5/14/13,2013,5,17,F,F,SC,HY1,130,3.29,VT,1
563,MO350,Hanalei,Hanalei,Manini,5/14/13,2013,5,17,,F,,,124,3.84,,1
513,YY026,Hanalei,Hanalei,Manini,5/9/13,2013,5,17,F,F,SC,HY1,113,3,VT,1
592,MO291,Hanalei,Hanalei,Manini,5/23/13,2013,5,17,,M,,,130,4.89,,1
587,MO290,Hanalei,Hanalei,Manini,5/23/13,2013,5,17,,M,,,114,5.156,,1
515,YY050,Hanalei,Hanalei,Manini,5/9/13,2013,5,17,M,M,SC,Mature,123,6,,1
483,YY040,Hanalei,Hanalei,Manini,5/4/13,2013,5,17,,M,,,136,6,,1
586,MO294,Hanalei,Hanalei,Manini,5/23/13,2013,5,17.5,F,F,SC,HY1,125,2.946,VT,1
569,MO267,Hanalei,Hanalei,Manini,5/14/13,2013,5,17.5,F,F,SC,HY1,139,2.25,VT,1
477,YY065,Hanalei,Hanalei,Manini,5/4/13,2013,5,17.5,F,F,SC,HY1,142,3,VT,1
635,MO263,Hanalei,Hanalei,Manini,5/19/13,2013,5,17.5,,M,,,142,9.591,,1
1948,HK031,Hanalei,Hanalei,Manini,5/8/14,2014,5,18,F,F,SC,VT,142,2.9,VT,1
640,MO259,Hanalei,Hanalei,Manini,5/19/13,2013,5,18,F,F,SC,HY1,161,5.064,VT,1
638,MO261,Hanalei,Hanalei,Manini,5/19/13,2013,5,18,F,F,SC,HY1,148,3.956,VT,1
478,YY080,Hanalei,Hanalei,Manini,5/4/13,2013,5,18,F,F,SC,VT,147,1,VT,1
636,MO276,Hanalei,Hanalei,Manini,5/19/13,2013,5,18,,F,,,140,6.123,,
588,MO295,Hanalei,Hanalei,Manini,5/23/13,2013,5,18,,M,,,146,4.767,,1
566,MO269,Hanalei,Hanalei,Manini,5/14/13,2013,5,18,,M,,,149,7.42,,1
482,YY059,Hanalei,Hanalei,Manini,5/4/13,2013,5,18,,M,,,141,7,,1
589,MO293,Hanalei,Hanalei,Manini,5/23/13,2013,5,18.5,F,F,SC,HY2,145,4.17,H,1
562,MO349,Hanalei,Hanalei,Manini,5/14/13,2013,5,18.5,F,,SC,HY2,156,6.73,H,1
634,MO264,Hanalei,Hanalei,Manini,5/19/13,2013,5,19,,M,,,187,10.035,,1
481,YY073,Hanalei,Hanalei,Manini,5/4/13,2013,5,19.5,F,F,SC,HY1,166,4,VT,1
2090,ES967,Hanalei,Hanalei,Manini,5/28/14,2014,5,12.7,M,M,SC,MATURE,52.34,0.07,,1
1920,,Hanalei,Hanalei,Manini,5/14/13,2013,5,14,,M,,,,,,
1921,ES916,Hanalei,Hanalei,Manini,5/14/13,2013,5,14.5,,M,,,,0.22,,
1919,ES915,Hanalei,Hanalei,Manini,5/14/13,2013,5,14.8,F,F,SC,VT,,1.33,VT,1
1917,ES913,Hanalei,Hanalei,Manini,5/14/13,2013,5,15,F,F,SC,HY2,,3.75,H,1
2089,ES966,Hanalei,Hanalei,Manini,5/28/14,2014,5,15.8,,M,,,97.28,3.4,,1
2086,ES963,Hanalei,Hanalei,Manini,5/28/14,2014,5,17,,M,,,,4.36,,1
1916,ES912,Hanalei,Hanalei,Manini,5/14/13,2013,5,17.2,F,F,U,PN,,0.14,U,0
1973,HK400,Hanalei,Hanalei,Manini,5/18/14,2014,5,17.3,,M,,,121,1.68,,1
1918,ES914,Hanalei,Hanalei,Manini,5/14/13,2013,5,17.4,F,F,SC,VT,,3.44,VT,1
771,ES326,Hanalei,Hanalei,Manini,6/16/13,2013,6,8.3,,U,,,16.1,0,,
772,ES327,Hanalei,Hanalei,Manini,6/16/13,2013,6,11.3,F,U,U,PN,40.4,0.04,U,0
775,ES330,Hanalei,Hanalei,Manini,6/16/13,2013,6,11.9,F,U,U,PN,45.1,0.13,U,0
773,ES328,Hanalei,Hanalei,Manini,6/16/13,2013,6,12.5,M,U,D,Immature,50,0.06,,0
774,ES329,Hanalei,Hanalei,Manini,6/16/13,2013,6,12.8,M,U,U,Immature,54.2,0.01,,0
801,HK024,Hanalei,Hanalei,Manini,6/17/13,2013,6,13.8,F,F,U,PN,68,0.117,U,0
731,MO284,Hanalei,Hanalei,Manini,6/3/13,2013,6,14,F,F,SC,HY1,78,2.274,VT,1
803,HK022,Hanalei,Hanalei,Manini,6/17/13,2013,6,14,M,M,U,Immature,63,0.2,,0
776,ES331,Hanalei,Hanalei,Manini,6/16/13,2013,6,14.3,F,F,SC,HY1,73.7,0.89,VT,1
777,ES332,Hanalei,Hanalei,Manini,6/16/13,2013,6,14.5,F,F,SC,VT,74.6,0.76,VT,1
779,ES334,Hanalei,Hanalei,Manini,6/16/13,2013,6,14.6,F,F,SC,HY1,78.8,1.58,VT,1
732,MO287,Hanalei,Hanalei,Manini,6/3/13,2013,6,15,F,F,SC,VT,91,2.068,VT,1
802,,Hanalei,Hanalei,Manini,6/17/13,2013,6,15,,M,,,84,0.191,,
778,ES333,Hanalei,Hanalei,Manini,6/16/13,2013,6,15.3,F,F,S,HY1,93.3,2.2,VT,1
780,ES335,Hanalei,Hanalei,Manini,6/16/13,2013,6,16,F,F,S,VT,114.9,5.74,VT,1
733,MO285,Hanalei,Hanalei,Manini,6/3/13,2013,6,16,,M,,,123,4.631,,1
782,ES337,Hanalei,Hanalei,Manini,6/16/13,2013,6,16.6,F,F,SC,HY1,96.7,1.9,VT,1
798,,Hanalei,Hanalei,Manini,6/17/13,2013,6,16.8,,M,,,120,0.519,,
730,MO286,Hanalei,Hanalei,Manini,6/3/13,2013,6,17,F,F,SC,HY1,113,3.805,VT,1
800,,Hanalei,Hanalei,Manini,6/17/13,2013,6,17.3,,M,,,120,0.42,,
799,,Hanalei,Hanalei,Manini,6/17/13,2013,6,17.5,,M,,,137,1.816,,1
781,ES336,Hanalei,Hanalei,Manini,6/16/13,2013,6,18.7,,M,,,163.9,6.12,,1
946,ES408,Hanalei,Hanalei,Manini,7/9/13,2013,7,10,F,U,U,PN,29.3,0.06,U,0
948,ES410,Hanalei,Hanalei,Manini,7/9/13,2013,7,10.2,F,U,U,PN,30.2,0.02,U,0
947,ES409,Hanalei,Hanalei,Manini,7/9/13,2013,7,10.9,F,F,U,PN,36.1,0.06,U,0
950,ES412,Hanalei,Hanalei,Manini,7/9/13,2013,7,11.6,F,U,U,PN,45.7,0.07,U,0
949,ES411,Hanalei,Hanalei,Manini,7/9/13,2013,7,12.3,M,M,U,Immature,55.2,0.02,,0
951,ES413,Hanalei,Hanalei,Manini,7/9/13,2013,7,12.7,M,M,U,Immature,58,0.04,,0
952,ES414,Hanalei,Hanalei,Manini,7/9/13,2013,7,13,M,M,U,Immature,70.4,0.07,,0
953,ES415,Hanalei,Hanalei,Manini,7/9/13,2013,7,13.1,M,U,U,Immature,64.9,0.02,,0
954,ES416,Hanalei,Hanalei,Manini,7/9/13,2013,7,13.2,,M,,,61.9,0.03,,0
810,HK024,Hanalei,Hanalei,Manini,7/17/13,2013,7,13.8,,F,,,68,0.117,,
812,HK022,Hanalei,Hanalei,Manini,7/17/13,2013,7,14,,M,,,63,0.2,,
811,,Hanalei,Hanalei,Manini,7/17/13,2013,7,15,,M,,,84,0.191,,
807,,Hanalei,Hanalei,Manini,7/17/13,2013,7,16.8,,M,,,120,0.519,,
809,,Hanalei,Hanalei,Manini,7/17/13,2013,7,17.3,,M,,,120,0.42,,
808,,Hanalei,Hanalei,Manini,7/17/13,2013,7,17.5,,M,,,137,1.816,,1
1789,HK040,Hanalei,Hanalei,Manini,7/22/13,2013,7,15.5,,F,,,100,3.09,,1
1790,HK042,Hanalei,Hanalei,Manini,7/22/13,2013,7,16,,F,,,117,10.29,,1
1785,,Hanalei,Hanalei,Manini,7/2/13,2013,7,16.5,,M,,,97,0.5,,
1788,HK035,Hanalei,Hanalei,Manini,7/22/13,2013,7,17,,F,,,141,4.37,,1
1791,HK033,Hanalei,Hanalei,Manini,7/22/13,2013,7,17.5,,F,,,145,3.81,,1
1787,HK041,Hanalei,Hanalei,Manini,7/22/13,2013,7,18,,F,,,176,5.42,,1
1783,,Hanalei,Hanalei,Manini,7/2/13,2013,7,18,,F,,,153,1.6,,1
1784,,Hanalei,Hanalei,Manini,7/2/13,2013,7,18.5,,M,,,129,2,,1
1782,,Hanalei,Hanalei,Manini,7/2/13,2013,7,19.5,,M,,,151,5,,1
1794,HK027,Hanalei,Hanalei,Manini,8/7/13,2013,8,15.5,,F,,,88,0.34,,
1797,HK020,Hanalei,Hanalei,Manini,8/7/13,2013,8,16,,M,,,113,1.48,,1
1793,HK028,Hanalei,Hanalei,Manini,8/7/13,2013,8,16,,M,,,102,0.63,,
1800,HK014,Hanalei,Hanalei,Manini,8/22/13,2013,8,16.5,,M,,,118,0.49,,
1796,HK023,Hanalei,Hanalei,Manini,8/7/13,2013,8,17.5,,M,,,125,1.4,,1
1801,HK039,Hanalei,Hanalei,Manini,8/22/13,2013,8,17.5,,M,,,126,0.43,,1
1792,HK026,Hanalei,Hanalei,Manini,8/7/13,2013,8,18,,M,,,139,1.58,,1
1795,HK012,Hanalei,Hanalei,Manini,8/7/13,2013,8,18.5,,F,,,156,1.87,,1
1798,HK029,Hanalei,Hanalei,Manini,8/7/13,2013,8,18.5,,M,,,167,1.94,,1
1804,HK017,Hanalei,Hanalei,Manini,8/22/13,2013,8,18.5,,M,,,147,0.58,,1
1799,HK013,Hanalei,Hanalei,Manini,8/22/13,2013,8,19,,F,,,177,1.05,,1
1805,HK032,Hanalei,Hanalei,Manini,8/22/13,2013,8,19,,F,,,162,0.96,,1
1802,HK018,Hanalei,Hanalei,Manini,8/22/13,2013,8,19,,M,,,162,0.4,,1
1803,HK025,Hanalei,Hanalei,Manini,8/22/13,2013,8,19.5,,F,,,181,0.89,,1
1812,HK009,Hanalei,Hanalei,Manini,10/18/13,2013,10,13.5,M,M,U,Immature,64,0.05,,0
1810,HK011,Hanalei,Hanalei,Manini,10/18/13,2013,10,14.1,M,M,Immature,,73,0.06,,0
1809,HK015,Hanalei,Hanalei,Manini,10/18/13,2013,10,14.6,F,F,RE,atresia with PN,80,0.23,RE,1
1811,HK037,Hanalei,Hanalei,Manini,10/18/13,2013,10,14.8,F,F,RE,PN,88,0.13,RE,1
1808,HK016,Hanalei,Hanalei,Manini,10/18/13,2013,10,16,F,F,RE,atresic,117,0.75,RE,1
1806,HK034,Hanalei,Hanalei,Manini,10/18/13,2013,10,16.8,M,M,U,Immature,127,0.16,,0
1807,,Hanalei,Hanalei,Manini,10/18/13,2013,10,17.8,,M,,,152,2.19,,1
1409,ES584,Maunalua,Maunalua,Manini,1/16/14,2014,1,9.5,F,U,U,PN,23,0.04,U,0
1428,Es577,Maunalua,Maunalua,Manini,1/13/14,2014,1,11.5,F,F,U,PN,38.05,0.03,U,0
1432,ES580,Maunalua,Maunalua,Manini,1/12/14,2014,1,12.5,M,U,U,IMMATURE,45,0.03,,0
1413,ES587,Maunalua,Maunalua,Manini,1/16/14,2014,1,13,F,F,U,CA,57,0.11,D,0
51,M006,Maunalua,Maunalua,Manini,1/18/13,2013,1,13,F,U,RE,PN,58.72,0.16,RE,1
1927,ES908,Maunalua,Maunalua,Manini,,1900,1,13.1,M,M,SC,MATURE,59.07,0.07,,1
1414,ES588,Maunalua,Maunalua,Manini,1/16/14,2014,1,13.2,M,M,SC,MATURE,60,0.05,,1
1427,ES576,Maunalua,Maunalua,Manini,1/13/14,2014,1,13.6,M,M,U,IMMATURE,71.3,0.13,U,0
48,M003,Maunalua,Maunalua,Manini,1/18/13,2013,1,14.1,F,F,SC,VT,77.57,0.97,VT,1
49,M004,Maunalua,Maunalua,Manini,1/18/13,2013,1,14.2,M,M,SC,,84.82,0.55,,1
50,M005,Maunalua,Maunalua,Manini,1/18/13,2013,1,14.3,M,M,SC,,76.51,0.34,,1
46,M001b,Maunalua,Maunalua,Manini,1/18/13,2013,1,14.3,M,U,SC,,86.09,1.36,,1
1928,ES909,Maunalua,Maunalua,Manini,,1900,1,14.8,F,F,SC,HY2,77.42,2.7,H,1
1412,ES586,Maunalua,Maunalua,Manini,1/16/14,2014,1,15,F,F,RE,PN,93,0.47,RE,1
62,WM111,Maunalua,Maunalua,Manini,1/27/13,2013,1,15.1,F,U,U,CA,,,,
1417,HK001,Maunalua,Maunalua,Manini,1/13/14,2014,1,15.2,,F,,,101,0.52,,
1926,ES907,Maunalua,Maunalua,Manini,,1900,1,15.6,F,F,SC,HY2,84.5,5.36,H,1
1431,,Maunalua,Maunalua,Manini,1/12/14,2014,1,16,,M,,,113.2,4.98,,1
60,MO003,Maunalua,Maunalua,Manini,1/27/13,2013,1,16.1,F,F,SC,VT,,,VT,1
64,MO002,Maunalua,Maunalua,Manini,1/27/13,2013,1,16.3,F,F,SC,VT,,,VT,1
1479,,Maunalua,Maunalua,Manini,1/31/14,2014,1,16.3,,M,,,117,2.13,,1
1478,ES504,Maunalua,Maunalua,Manini,1/31/14,2014,1,16.5,,F,,,137,12.1,,1
1426,HK104,Maunalua,Maunalua,Manini,1/13/14,2014,1,16.5,,F,,,139,1.17,,1
1481,,Maunalua,Maunalua,Manini,1/31/14,2014,1,16.5,,M,,,119,6.11,,1
1480,,Maunalua,Maunalua,Manini,1/31/14,2014,1,16.5,,M,,,115,6.03,,1
47,M002,Maunalua,Maunalua,Manini,1/18/13,2013,1,16.8,M,M,SC,Mature,126.18,5.77,,1
58,MO001,Maunalua,Maunalua,Manini,1/27/13,2013,1,17,F,F,SC,VT,,,VT,1
61,WM112,Maunalua,Maunalua,Manini,1/27/13,2013,1,17,M,M,SC,,,,,1
